ReviewId,RecipeId,AuthorId,Rating,Review,DateModified,source,AggregatedRating,ReviewCount
3727958,19402,14509516,5,So easy and the family loved it!!!  I would rate it six stars if I could,2014-10-26 11:38:02.650000+00:00,foodrecsys,4.60359811783,3942.0
3727959,19402,13370830,5,"Awesome recipe, very easy to make and DELICIOUS!",2015-07-17 06:37:35.343000+00:00,foodrecsys,4.60359811783,3942.0
3727960,19402,845389,5,"Excellent!!  Easy to make, and so delicious!  Everyone had seconds and thirds.  We're definitely keeping this recipe!  I did add minced garlic to the melting butter, and also added a few dashes of nutmeg, which I think is a must for alfredo sauce.  Thanks for sharing!",2009-07-17 08:28:21.100000+00:00,foodrecsys,4.60359811783,3942.0
3727961,19402,263633,5,"Very excellent recipe. So much smoother, creamier, and easier than other alfredo recipes I've tried. I did make a few of my own adjustments; I used 1 cup of cream and 1 cup of milk like a few others suggested, I used nutmeg instead of garlic powder and pepper, and used parmesean and romano cheeses. It was so luxurious, and reheats slightly better than some homemade sauces. Great for tossing with pasta or more substantial items like meat and veggies. Definately a keeper!",2002-09-11 10:05:37.857000+00:00,foodrecsys,4.60359811783,3942.0
3727962,19402,5088722,5,"Just made mines with fat free cream cheese, low fat butter, and fat free half & half. The best and easiest pasta I have ever made. Thank you for this awsome recipe!",2010-07-22 13:29:36.537000+00:00,foodrecsys,4.60359811783,3942.0
3727963,19402,1033683,5,Great sauce & pretty darn quick & easy!,2008-05-15 08:40:07.857000+00:00,foodrecsys,4.60359811783,3942.0
3727964,19402,2622932,5,"I've made this twice now and the second time I discovered what it needed. The first time I tried adding some basil and oregano - that was delicious and beautifully creamy, but it still tasted a little weak. The second time I added that, some extra parmesan, two more teaspoons garlic powder and a teaspoon of cornstarch - and it did the trick. Fabulous.",2008-04-12 15:33:46.120000+00:00,foodrecsys,4.60359811783,3942.0
3727965,19402,11662926,4,Instead of adding garlic powder I sautéed 1 small chopped onion for 7-8 mins in the butter. I only used a 1/2 stick of butter instead of the whole stick. After 5 mins I added 4 crushed garlic cloves to the sautéed butter and onions. Then after whisking all the cheeses and milk together I added a lg. bag of frozen organic peas. I used tortellini for the pasta. Yummy,2014-08-18 17:09:52.917000+00:00,foodrecsys,4.60359811783,3942.0
3727966,19402,1689046,5,Fabulous and easy!!,2015-07-21 08:07:29.293000+00:00,foodrecsys,4.60359811783,3942.0
3727967,19402,1377751,5,I had a similar recipe in a church cookbook so this was exactly what I was looking for. I love it with the cream cheese...we add sauteed mushrooms and peas Delish! Made exactly as directed took a while to thicken.,2012-07-12 20:00:28.717000+00:00,foodrecsys,4.60359811783,3942.0
3727968,19402,2000346,4,"Ah, cream cheese... I ate a white pizza the other day made by my neighbor's BFF in which she used this sauce. I loved it, so I tried it on a few of my own pizzas. Topped one with Italian sausage crumbles. The other pizza got grilled chicken and blanched broccoli florets. Husband was not crazy about sauce, but he has a cream cheese mental block. I thought it was totally great on the pizzas. The recipe was so easy to make and turned out thick and creamy just like everyone said it would. I used about 2 cups finely shredded Parmigiano Reggiano and it made the sauce more tangy and flavorful. The sauce also needed salt and onion powder, and I didn't use all the milk.",2008-06-02 23:24:26.700000+00:00,foodrecsys,4.60359811783,3942.0
3727969,19402,1852894,5,"This sauce is outstanding. I love Alfredo and have tried every package and jarred kind I can find, and this beats them all hands down. It keeps very well in the refrigerator and works great for a quick dinner for kids.",2006-04-10 09:08:21.217000+00:00,foodrecsys,4.60359811783,3942.0
3727970,19402,17425891,4,"It is very good.   I used minced garlic and low fat cream cheese.   Serving size very large, I got two meals out of  1 serving.",2018-02-18 21:08:55.557000+00:00,foodrecsys,4.60359811783,3942.0
3727971,19402,4209574,5,Awesome stuff!,2014-04-08 19:33:42.270000+00:00,foodrecsys,4.60359811783,3942.0
3727972,19402,16590311,5,"I have made this recipe several times, and we LOVE it!!  Super quick and easy!",2015-10-22 17:37:51.420000+00:00,foodrecsys,4.60359811783,3942.0
3727973,19402,2490009,4,"This sauce is very good!  However, it can be a bit overpowering if you like to drench you noodles, just be sure to have bread/rolls as well.  Either way, I would call it a keeper!",2007-09-14 14:51:16.843000+00:00,foodrecsys,4.60359811783,3942.0
3727974,19402,2565610,5,"Absolutely loved this recipe! Made it exactly as it was, and it came out perfect. I thought this alfredo sauce tasted better than Olive Garden. Even leftover sauce was super yummy! Will definitely make again!!",2014-01-13 16:01:33.587000+00:00,foodrecsys,4.60359811783,3942.0
3727975,19402,5282727,5,Quick and delicoous,2013-12-14 13:31:09.747000+00:00,foodrecsys,4.60359811783,3942.0
3727976,19402,13469164,5,"Instead of using garlic powder I used real garlic (2 cloves) and grated it up. I also substituted some shredded mozzarella cheese for some of the parmesan since I had the Kraft stuff and didn't want to use it all up. I did't measure it but went by consistency of the sauce. I thought it was delicious and my family enjoyed it too. Much much tastier than the sauce from jars. After I finished making the sauce I added a few big hand fulls of spinach, grilled chicken, and roasted red pepper (brushed with oil and put on the BBQ). Would have added mushrooms but didn't have any around.",2014-05-28 20:29:33.300000+00:00,foodrecsys,4.60359811783,3942.0
3727977,19402,3552379,5,"Very very good! My sister and I loved this recipe. I added a few things to make it even better. I cut up 2 small chicken breasts, I added a small container of fresh mushrooms and then used about half of a small onion in tiny pieces and fried it all together. Then while boiling the pasta I added some frozen broccoli florets to the water. It truly tasted like something from a fine restaurant. I had a lot left over so I put it all in a large bowl and in the fridge. I honestly didn't expect it to heat up well the next day but I microwaved it and it was just as good  as the night before. Very creamy and no milk needed.  Cant ask for a easier Alfredo sauce!",2009-02-19 13:00:54.543000+00:00,foodrecsys,4.60359811783,3942.0
3727978,19402,2868718,5,"After making this, I would never buy jar sauce again!  The flavor was incredible!  The only change I made was to use 4 cloves of real garlic because we love garlic!  Very easy and quick to make.  A definite keeper!",2011-03-15 15:18:14.203000+00:00,foodrecsys,4.60359811783,3942.0
3727979,19402,7161328,5,So good but so unhealthy! Lmao! This was quick and easy. love it.,2011-06-08 07:17:14.473000+00:00,foodrecsys,4.60359811783,3942.0
3727980,19402,3294705,4,"I looked this recipe up at the last minute. It was a great base recipe. I did add other seasonings to create more flavor, but it was easy, quick, and I had everything to make it. Will use again, but with less butter or other substitute.",2008-11-25 20:17:25.257000+00:00,foodrecsys,4.60359811783,3942.0
3727981,19402,796146,5,"Super yummy and couldn't be simpler!  I scaled it for 1 person; two of us split it over our side of fettuccini. Used half & half I had on hand (instead of milk); a garlic clove minced (instead of powder); & a pinch of nutmeg, as others suggested. Delicioso!",2006-12-28 16:40:47.937000+00:00,foodrecsys,4.60359811783,3942.0
3727982,19402,16836179,4,"my son and I love alfredo sauce, I could not beleive how easy this was.  I gave it 4 stars because the cheese made it a little salty.  Next time I will not use as much, but I loved it.",2015-11-23 15:10:56.540000+00:00,foodrecsys,4.60359811783,3942.0
3727983,19402,2016756,5,I loved this recipe. Very Yummy!,2007-11-11 13:06:16.507000+00:00,foodrecsys,4.60359811783,3942.0
3727984,19402,2319862,4,"I have fixed this multiple times and can never get it to thicken and I followed the directions exactly. However, the flavor more than makes up for it being a bit runny. We just eat it with a spoon! :)",2010-04-27 13:21:13.083000+00:00,foodrecsys,4.60359811783,3942.0
3727985,19402,2205175,5,"Very quick and easy to make, I love to make this in my veggie lasagna. It makes it taste unbelievable.",2008-03-18 12:52:59.307000+00:00,foodrecsys,4.60359811783,3942.0
3727986,19402,2564752,5,"Excellent...I was a bit leary at first but it turned out beautifully!

I did add fresh garlic and parsley!

This is a must recipe!  Loved it!",2008-01-30 05:18:59.213000+00:00,foodrecsys,4.60359811783,3942.0
3727987,19402,758015,5,Wonderful! Absolutely positively wonderful. So simple and delicious. Will definately be using this for many other pasta dishes.,2004-03-10 09:45:48.093000+00:00,foodrecsys,4.60359811783,3942.0
3727988,19402,7439868,5,"Just as it is titled, very quick and very easy.",2014-02-22 01:47:09.620000+00:00,foodrecsys,4.60359811783,3942.0
3727989,19402,20868010,4,"I gave this 4 stars because it makes a great base sauce but needs help to make it an awesome sauce. I doubled this sauce for two adults and three children( we like left overs). Besides what the basic list of ingredients I added 2 cups of heavy whipping creme, 6 small to medium sized gloves of garlic finely minced, 2 sticks of unsalted butter, and a cup of finely grated Parmesan cheese. I also added a teaspoon of cilantro, oregano, Mediterranean basil. overall the family loved the sauce.",2016-11-29 03:11:32.620000+00:00,foodrecsys,4.60359811783,3942.0
3727990,19402,3624785,5,Really good and fast! I made with the tantalizing turkey and blue cheese meatballs from this site and it was delicious. Will definitely make again!,2009-07-19 12:14:50.810000+00:00,foodrecsys,4.60359811783,3942.0
3727991,19402,6882815,5,"While there is nothing quite like authentic homemade alfredo, this recipe is perfect for a weeknight meal. It's so quick and delicious! I try to use roasted garlic, if I have time, and more parm cheese. I also add chicken or seafood and broccoli.",2011-04-11 12:57:15.933000+00:00,foodrecsys,4.60359811783,3942.0
3727992,19402,6194691,5,"This is a family favourite - my kids like it better than what they get at a restaurant we frequent on birthdays. I can get home from work and have it whipped up from scratch in less than 1/2 hour :) Fantastic, delicious and easy!",2015-06-23 22:24:31.750000+00:00,foodrecsys,4.60359811783,3942.0
3727993,19402,3234979,5,"An excellent, quick alfredo sauce.  Adjust the amount of cream cheese to your personal tastes, and the result will be a perfect alfredo sauce!  I use about 4 oz. cream cheese with 6 oz. parmesan.  Also, I mellow out the flavor with a small handful of shredded mozzarella.  Don't add too much or your sauce WILL turn rubbery. Very, very tasty!!",2009-07-28 17:58:14.533000+00:00,foodrecsys,4.60359811783,3942.0
3727994,19402,1336838,5,This recipe is very good. I had a lot of fun with it. I ended up running out of parmesean so I halved it and put in mozzerella with it. It made it very cheesy.,2011-02-28 15:13:04.683000+00:00,foodrecsys,4.60359811783,3942.0
3727995,19402,1691905,5,"For taste, this was terrific.  But what do you expect from butter, cream cheese and milk mixed with garlic salt?  I sampled just a wee bit and it was phenomenal.  That said, I just couldn't bring myself to eat more than a teaspoon on account of the guilt.  Husband LOVED it!!",2009-04-19 17:18:16.190000+00:00,foodrecsys,4.60359811783,3942.0
3727996,19402,650092,5,This recipe is sooooo good and easy to make. My 3yr old daughter and husband love it. Thank you,2003-09-07 14:44:51.420000+00:00,foodrecsys,4.60359811783,3942.0
3727997,19402,2696715,4,This was quick and easy but I found the sauce to be really thick and heavy.,2010-02-08 11:14:47.440000+00:00,foodrecsys,4.60359811783,3942.0
3727998,19402,1050124,5,Amazing and easy!  It had great flavor and so easy to make!  I always use fresh pharm when making alfredo.,2010-01-04 17:35:52.073000+00:00,foodrecsys,4.60359811783,3942.0
3727999,19402,4818449,5,"We used this for a pizza sauce and it was delicious.  Instead of garlic powder we used minced garlic, and lots of it.  Very creamy.",2011-12-30 22:32:00.933000+00:00,foodrecsys,4.60359811783,3942.0
3728000,19402,1467923,5,"Just like the title says...""quick and easy""...and really good.  Served it over angel hair pasta.  Will try again with chicken and broccoli.  Thank you for the post!",2008-12-22 17:15:15.380000+00:00,foodrecsys,4.60359811783,3942.0
3728001,19402,271893,5,"This is a really good, and really easy sauce to make.  I used skim milk and reduced fat cream cheese and the taste was excellent.  The Parmesan did not melt completely.  I might try cooking a bit longer next time.  I recommend that you add 1/8 tsp. of nutmeg.",2003-09-19 19:56:01.577000+00:00,foodrecsys,4.60359811783,3942.0
3728002,19402,3786266,5,This is the recipe I lost 2 years ago.  Or darn close to it.     Darn darn good.    Thanks.  We love it.   Added chopped cooked chicken and it was such a delicious sauce.   Add a salad and garlic bread.  Yum yum!!!!!!!,2015-02-03 16:12:07.190000+00:00,foodrecsys,4.60359811783,3942.0
3728003,19402,7685664,5,I just made this and it tastes wonderful. The sauce is done before the pasta that tells you how fast and easy it is to make. I will be making this again.I followed a few of the suggestions by using minced garlic and 1 1/3 cup of milk. Thank you for sharing your recipe.,2012-10-13 14:15:31.497000+00:00,foodrecsys,4.60359811783,3942.0
3728004,19402,297385,5,Love this recipe because all of the ingredients are what we always have on hand!  The kids love it - easy and delicious.,2010-01-20 18:43:13.093000+00:00,foodrecsys,4.60359811783,3942.0
3728005,19402,763428,5,"This recipe is incredible.  I have worked with Chefs in the past and this is on the same calibur as the Chefs!  My entire family loved it!

HINT!!!  If you want CREAMIER sauce, use 2 Cups of Heavy Cream instead of milk.",2006-04-10 15:38:29.717000+00:00,foodrecsys,4.60359811783,3942.0
